epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
13,116.698,1.37331,1.47089,1.63246,0.70794,0.5503,0.64343,0.33422,1.93085,1.65654,2.21867,0.000984449,0.000984449,0.000984449
14,234.198,1.3625,1.42977,1.60978,0.71588,0.54224,0.61462,0.36087,1.76725,1.79272,2.05114,0.000981765,0.000981765,0.000981765
15,362.953,1.33398,1.37591,1.60005,0.81148,0.48789,0.65407,0.35132,1.81756,1.85905,1.99912,0.000978873,0.000978873,0.000978873
16,528.988,1.3178,1.3848,1.59083,0.77267,0.54457,0.66352,0.38695,1.70507,1.62562,1.91634,0.000975773,0.000975773,0.000975773
17,729.202,1.30456,1.31836,1.57745,0.54977,0.61943,0.61586,0.35518,1.77721,1.75944,1.89472,0.000972466,0.000972466,0.000972466
18,879.967,1.30199,1.30283,1.56163,0.65847,0.61243,0.6605,0.41017,1.65355,1.49456,1.89491,0.000968955,0.000968955,0.000968955
19,1041.7,1.27025,1.29065,1.55038,0.52859,0.45703,0.43883,0.19622,1.95172,1.95577,2.09425,0.000965239,0.000965239,0.000965239
20,1282.47,1.28337,1.27411,1.55343,0.72255,0.47816,0.62284,0.35594,1.73161,1.51204,1.92876,0.000961322,0.000961322,0.000961322
21,1493.28,1.24762,1.23433,1.52964,0.63703,0.48039,0.53854,0.30135,1.75812,1.45108,1.92906,0.000957205,0.000957205,0.000957205
22,146.26,1.24848,1.2236,1.53237,0.6379,0.69931,0.72401,0.43068,1.72418,1.59746,1.86697,0.000952889,0.000952889,0.000952889
23,286.421,1.23911,1.19013,1.51495,0.7638,0.67974,0.78345,0.46325,1.58833,1.40423,1.84766,0.000948377,0.000948377,0.000948377
24,496.816,1.20766,1.15127,1.50029,0.51164,0.35197,0.33533,0.1857,1.64355,1.36681,1.86751,0.000943671,0.000943671,0.000943671
25,640.877,1.21498,1.16675,1.50252,0.71013,0.55467,0.71124,0.38259,1.65291,1.49026,1.93409,0.000938772,0.000938772,0.000938772
26,770.662,1.1884,1.1218,1.48407,0.73115,0.62438,0.70751,0.40089,1.60837,1.51971,1.78093,0.000933683,0.000933683,0.000933683
27,125.269,1.28262,1.25545,1.55242,0.76546,0.71552,0.75462,0.42493,1.56277,1.29509,1.79217,0.000928405,0.000928405,0.000928405
